num,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-14.447504654593622,-1.0185741747732227,3.5321521572188317,-0.4853970908627687,-5.0093999919113825,-8.955477772855216,-7.611315644583586,-6.16763472333018,-0.2271790617213827,5.483893825867769,-13.006272402140745,3.7406260382269307,-0.438388889380084,7.799404724073077,-1.9427645586905369,-0.7765333122246325,-14.73377899442518,-8.766379377913434,0.54683744077015,-11.605154085200972,-6.734772080430698,-11.458052546921671,-3.424470478732092,-11.116978431763217,-4.861038361134792,-3.7111456619972114,-4.684583980379937,-4.249667700275466,-3.3112800319468794,-8.842286592495043,-12.840978482810806,-7.52246492167118,-6.126068217340516,-2.4554559214555405,-4.689448035152899,-8.540591897498178,-8.031156998261775,-3.545842047100621,-8.408117733617265,-14.549807536472239,-1.3981848213222352,-2.6388949927392247,-3.0291446232354877,-2.9766448533102086,-4.767976428586509,-6.765174590671421,-5.277546376545478,-2.4643084166191205,-7.134792843646378,-9.302155222893516,-13.531317719949774,-7.44184480379248,-11.804970442469681,-7.496988186825477,-4.081969577520491,-5.4751265958825,-4.252640454206674,-1.4734252865695199,-5.787433599105399,-2.6231589897913707,-0.5737533613248491,-1.9381744981883822,-10.412918295934224,-12.519072697284807,-6.449344764959976,-0.9481890079421271,-7.730432645675954,2.031042839648986,3.0485840288383748,-6.415192638253373,-9.449321829778382,6.020309052874149,-5.638115526659748,-12.118556150160586,-7.822875505054797,-7.836680458691063,-2.4125963822729646,-0.22474011463346777,-8.886747438587417,1.05241441133591,-2.065517229866165,-10.700209872743914,-4.8059265871457875,-6.376722833250449,3.358558189458469,-6.6017852550173135,0.42970673416913563,-6.74819576012184,-4.299570279850036,-2.4494979462982376,0.15767097563754806,-5.044697961038541,-8.043669086731912,-0.2651231174546675,-11.042649761279241,-8.207227617352764,-6.324894579899858,-3.4089707924100487,2.084447786564148,-14.447504654593622
1,-14.447504654593622,-1.0185741747732227,2.3408482092125893,-0.4853970908627687,-4.8102483126473645,-8.955477772855216,-7.090050250512545,-4.653047429169292,-0.2271790617213827,4.845752622971398,-12.005468336289667,3.7406260382269307,0.7752376973248116,7.799404724073077,-1.9427645586905369,-0.7765333122246325,-14.73377899442518,-8.766379377913434,0.43959488093353416,-11.098206634255986,-7.780226089669277,-10.406353810947161,-3.424470478732092,-10.464405712537864,-4.861038361134792,-4.4571673325353,-4.684583980379937,-4.249667700275466,-3.9988686147055814,-8.793584964236798,-12.840978482810806,-7.52246492167118,-4.7444493943223565,-2.4554559214555405,-4.689448035152899,-7.509528302980081,-8.031156998261775,-3.545842047100621,-8.094824723006967,-13.434136234299961,-1.3981848213222352,-2.6388949927392247,-3.0291446232354877,-3.007348414433702,-4.767976428586509,-6.024029701366993,-5.277546376545478,-2.7248223691889573,-5.659257901697721,-9.302155222893516,-13.531317719949774,-7.254191773341093,-11.722447717312376,-7.496988186825477,-4.081969577520491,-5.18572547862156,-4.161958867210254,-1.6599476137257863,-6.031954640359331,-3.620936063668685,-0.5737533613248491,-2.15594345906829,-10.412918295934224,-12.519072697284807,-6.449344764959976,-0.9481890079421271,-5.885338736128328,2.031042839648986,1.1631606191594406,-6.415192638253373,-7.964538888268616,3.927095031678517,-5.649137902765077,-12.118556150160586,-7.822875505054797,-6.152786442743118,-2.4125963822729646,-0.8498654394358272,-8.81924250473392,1.05241441133591,-2.065517229866165,-10.700209872743914,-5.581073729614063,-6.207209861342996,2.565070473997451,-5.913671446553556,0.40307299317454504,-6.74819576012184,-4.299570279850036,-2.4494979462982376,0.19388775952858212,-5.014364457761314,-8.043669086731912,-2.1950844640936373,-11.042649761279241,-8.207227617352764,-6.324894579899858,-2.390429951567657,2.084447786564148,-14.447504654593622
2,-13.47161536259477,-1.0185741747732227,2.3408482092125893,-0.4853970908627687,-4.8102483126473645,-7.624977156782871,-7.090050250512545,-3.9079396466798375,-0.2271790617213827,3.623867001917236,-12.005468336289667,3.125475117503938,2.4326382926008714,7.799404724073077,-1.42508838889365,-0.7765333122246325,-14.18305994125748,-8.766379377913434,0.43959488093353416,-11.098206634255986,-7.780226089669277,-9.081762069872896,-5.5501178840439245,-9.983045428304116,-5.685434318482733,-4.603410652464075,-4.684583980379937,-4.154634299054449,-4.585430305997596,-8.793584964236798,-12.39488993830271,-7.52246492167118,-4.7444493943223565,-3.2938966376721988,-4.689448035152899,-7.509528302980081,-7.2933321370788935,-3.925222267222994,-8.112167910239421,-13.434136234299961,-3.061426796536762,-2.7759176736450337,-3.3596314295535814,-3.007348414433702,-4.883907207228,-6.024029701366993,-5.277546376545478,-2.7248223691889573,-6.0119084010625015,-9.302155222893516,-13.531317719949774,-7.254191773341093,-11.722447717312376,-5.532905265180647,-4.7785833615426005,-5.159211893447027,-4.173455585804759,-1.6599476137257863,-5.89429679300709,-3.7134705582681136,-0.5737533613248491,-2.4686919566740944,-10.412918295934224,-12.180635131220477,-6.449344764959976,-0.9481890079421271,-5.885338736128328,2.031042839648986,1.1631606191594406,-6.415192638253373,-7.964538888268616,3.927095031678517,-4.60817401373389,-11.05790255170884,-7.462250994135339,-5.386418937806651,-2.4125963822729646,-0.8498654394358272,-8.677324422896872,0.8915142494150408,-2.065517229866165,-10.619063598575261,-6.102765178276139,-6.207209861342996,2.565070473997451,-5.499555507295552,0.40307299317454504,-6.74819576012184,-4.982369583591513,-2.4494979462982376,-1.5081572518440598,-4.468045783102738,-8.043669086731912,-2.917443954278809,-11.042649761279241,-6.690882680955326,-6.274544647167259,-2.390429951567657,2.084447786564148,-13.47161536259477
3,-13.47161536259477,-1.5051928950654359,2.3408482092125893,-0.9124938977042962,-4.298573626030653,-6.409826590360599,-7.090050250512545,-3.9079396466798375,-0.2271790617213827,0.929088867379332,-10.656102204218902,3.125475117503938,2.6627897833650733,7.799404724073077,-1.1016411592328812,-0.7765333122246325,-14.18305994125748,-8.766379377913434,0.43959488093353416,-11.098206634255986,-7.780226089669277,-9.081762069872896,-6.027911522179895,-9.983045428304116,-5.685434318482733,-5.535308615904401,-4.684583980379937,-5.195777691841249,-5.105161483721474,-8.793584964236798,-12.39488993830271,-7.52246492167118,-5.349821286578358,-3.2938966376721988,-4.689448035152899,-7.495382343737492,-6.55091089047894,-6.234591386309242,-8.112167910239421,-11.467405716792957,-3.7724479100466395,-3.8961452184522187,-3.3596314295535814,-4.233257580818761,-4.883907207228,-6.024029701366993,-4.895964486054695,-3.1871964786284894,-6.0119084010625015,-9.105719144377153,-13.531317719949774,-7.254191773341093,-11.434713836493069,-6.265591216179395,-4.7785833615426005,-5.011276683202094,-4.173455585804759,-1.6599476137257863,-5.177894789216076,-3.856715738751544,-0.7647767093051347,-2.4686919566740944,-10.412918295934224,-11.753105901372578,-6.449344764959976,-0.9481890079421271,-5.885338736128328,2.031042839648986,1.2504988691828256,-6.415192638253373,-7.472340327844119,3.4792073371336523,-3.63472218325062,-11.05790255170884,-7.462250994135339,-5.386418937806651,-2.4125963822729646,-1.3675419732663627,-7.207639177269142,0.8915142494150408,-2.9759092801607148,-9.40350370685654,-6.096335536549488,-6.207209861342996,2.565070473997451,-5.178921661681469,0.1368741954590128,-6.74819576012184,-4.982369583591513,-3.409169098343997,-2.81310512550353,-4.491527017069396,-7.64242809116433,-2.917443954278809,-10.498221425896896,-6.763353154621821,-6.274544647167259,-2.390429951567657,2.084447786564148,-13.47161536259477
4,-13.201043790292935,-1.5051928950654359,2.3408482092125893,-0.9124938977042962,-4.298573626030653,-6.409826590360599,-6.921981663861123,-3.9079396466798375,-0.2271790617213827,0.929088867379332,-9.954236273841365,2.9676432881851187,3.4669728263718054,7.799404724073077,0.4141426022695758,-0.8056074500697986,-14.18305994125748,-8.604785929166447,0.21451649708766915,-10.697304755303518,-7.663747157580962,-9.081762069872896,-6.190486648776267,-9.983045428304116,-5.685434318482733,-5.4380700915353115,-5.014381632008647,-5.195777691841249,-5.105161483721474,-8.793584964236798,-12.39488993830271,-7.52246492167118,-5.372846037969827,-3.8091741824921064,-4.746612157641246,-7.334639914772135,-6.55091089047894,-6.234591386309242,-7.986511991562388,-10.906486306780701,-3.959682322455667,-3.8961452184522187,-3.3596314295535814,-4.233257580818761,-4.883907207228,-6.024029701366993,-4.895964486054695,-5.551337175466098,-6.0119084010625015,-7.418049128217699,-13.531317719949774,-7.254191773341093,-11.434713836493069,-6.265591216179395,-5.422321259706488,-5.011276683202094,-4.173455585804759,-2.3052206049051005,-3.8547231512317475,-3.856715738751544,-1.2162369850754589,-2.4686919566740944,-10.412918295934224,-11.036312600649252,-5.661785757228927,-0.9481890079421271,-4.769419578735736,2.031042839648986,0.49539576242585626,-6.415192638253373,-7.472340327844119,2.4114270952758763,-3.63472218325062,-11.05790255170884,-7.462250994135339,-5.386418937806651,-2.4125963822729646,-1.3675419732663627,-6.429580496147341,0.8915142494150408,-3.8130771907369856,-8.181327794576715,-6.184927180608262,-6.207209861342996,2.565070473997451,-5.2312560720487244,0.1368741954590128,-6.115440236019314,-4.982369583591513,-3.409169098343997,-4.44366518723842,-4.381755040130034,-7.64242809116433,-3.7583174422031425,-9.547669987092256,-6.763353154621821,-6.274544647167259,-2.390429951567657,2.084447786564148,-13.201043790292935
5,-11.539690857430461,-1.5051928950654359,1.8984106792147806,-0.9124938977042962,-4.298573626030653,-4.737354874850843,-6.286639775967354,-3.9079396466798375,-2.0150646128901317,0.43673950972871894,-8.169621570015325,2.9676432881851187,3.4669728263718054,7.799404724073077,0.8779511666013434,-2.893332698548461,-13.871767854225252,-8.604785929166447,-0.10147078002022006,-10.027387971205444,-6.852321901386942,-7.897537001772692,-7.528835182618501,-9.132577616473167,-5.685434318482733,-5.4380700915353115,-5.014381632008647,-4.937551561355847,-6.1274826309620165,-8.793584964236798,-12.143076596995142,-7.52246492167118,-5.372846037969827,-3.8091741824921064,-5.471555648801151,-7.334639914772135,-6.55091089047894,-6.234591386309242,-7.713602246639896,-10.906486306780701,-3.959682322455667,-3.8961452184522187,-3.3596314295535814,-4.233257580818761,-5.415894633866407,-5.398748186756143,-5.765773075132689,-5.551337175466098,-5.514593335126421,-7.418049128217699,-13.531317719949774,-7.5636008994026245,-11.434713836493069,-6.21316118829949,-5.422321259706488,-5.011276683202094,-4.173455585804759,-2.3052206049051005,-3.8547231512317475,-3.1830962082905936,-1.2162369850754589,-2.4686919566740944,-9.240170842661344,-10.644935051307705,-5.661785757228927,-0.89258880112346,-4.769419578735736,1.750520551037368,-0.8274363611103221,-6.415192638253373,-7.306009981186684,1.083514008651509,-3.63472218325062,-11.05790255170884,-6.976404181368975,-5.386418937806651,-2.4125963822729646,-1.3675419732663627,-5.80301296031895,0.6703996657118807,-3.8130771907369856,-7.413230350918523,-6.184927180608262,-5.316128474503545,2.535238047371759,-5.2312560720487244,0.1368741954590128,-5.2377515292070935,-4.47996343963298,-3.409169098343997,-4.44366518723842,-4.381755040130034,-6.3918014289648735,-3.7583174422031425,-7.810719228803493,-6.4249558040634325,-6.1002738950857305,-2.390429951567657,2.084447786564148,-11.539690857430461
6,-11.271246370455486,-1.6527303507432671,1.638385665796438,-1.1795902399927571,-4.298573626030653,-4.737354874850843,-5.573038178155123,-4.245945295766095,-2.0150646128901317,0.43673950972871894,-6.896342792082905,1.6053362648149618,3.4634397917827995,6.2083776847833265,2.613027169683904,-3.778341963777492,-13.871767854225252,-8.604785929166447,-0.13074416706900896,-10.027387971205444,-6.852321901386942,-7.897537001772692,-7.528835182618501,-8.66962286854461,-5.685434318482733,-5.4380700915353115,-5.026124204309746,-4.937551561355847,-6.1274826309620165,-6.630518505322113,-12.143076596995142,-7.52246492167118,-5.372846037969827,-4.534681363916456,-5.471555648801151,-7.194015137562978,-6.139850536113344,-6.234591386309242,-7.713602246639896,-10.906486306780701,-3.959682322455667,-4.090946715125288,-3.3596314295535814,-4.233257580818761,-4.838960838439389,-5.481304572589139,-5.311842467986173,-5.551337175466098,-5.514593335126421,-7.418049128217699,-13.531317719949774,-7.964471233688246,-11.434713836493069,-6.21316118829949,-5.422321259706488,-5.011276683202094,-4.173455585804759,-2.517446423981532,-3.8547231512317475,-3.1830962082905936,-1.7095561132746437,-2.9301167425325074,-9.240170842661344,-10.644935051307705,-5.382008753550432,-0.89258880112346,-4.575861135129488,1.1882964734736476,-0.8274363611103221,-5.687776984238422,-6.7038139826100425,1.083514008651509,-5.381223379206493,-10.506603300984604,-7.0114689648505735,-5.386418937806651,-2.4125963822729646,-1.3675419732663627,-5.80301296031895,0.6703996657118807,-3.829018451949272,-7.0686718948902625,-6.184927180608262,-5.316128474503545,2.14548825967382,-5.156312624172693,-1.384001963704243,-5.2377515292070935,-4.393425433559613,-4.446899665744555,-4.44366518723842,-5.099580496615975,-5.8315059586728974,-5.254623740531292,-5.876897911622385,-6.4249558040634325,-6.1002738950857305,-2.1397391770094623,2.084447786564148,-11.271246370455486
7,-11.271246370455486,-1.6527303507432671,1.638385665796438,-1.6714855081203241,-2.989284559811441,-4.737354874850843,-5.540531035708021,-4.245945295766095,-2.6895855529759314,0.3211636381460904,-6.896342792082905,1.2859092005378134,3.4634397917827995,6.080773271177084,2.441200721839451,-3.778341963777492,-13.871767854225252,-7.1829158580437555,-0.7224273315841804,-10.027387971205444,-6.852321901386942,-7.897537001772692,-7.528835182618501,-8.66962286854461,-5.685434318482733,-5.262939365722095,-5.026124204309746,-4.937551561355847,-5.646632942811262,-6.630518505322113,-11.794985564625767,-5.796065983151094,-5.372846037969827,-5.208740273079821,-5.471555648801151,-7.194015137562978,-6.139850536113344,-6.103170802167478,-7.713602246639896,-10.906486306780701,-3.959682322455667,-4.0463762926386995,-4.105914317798221,-4.422858922757375,-4.838960838439389,-5.481304572589139,-5.178306564396435,-5.551337175466098,-5.514593335126421,-7.418049128217699,-13.531317719949774,-7.888478801292371,-11.434713836493069,-6.21316118829949,-5.422321259706488,-5.011276683202094,-4.513936724029334,-2.3234799460796083,-3.6713627188354616,-3.1830962082905936,-1.7095561132746437,-3.373592878173146,-9.26419619392092,-9.549192734386033,-5.382008753550432,-1.0569642856489667,-4.038539154911286,1.0044917603044476,-0.8274363611103221,-5.687776984238422,-5.114280739228913,1.083514008651509,-5.381223379206493,-8.385316490847195,-6.607752929092502,-4.376205904007879,-3.658220906999917,-2.0141803732437285,-5.80301296031895,0.36551161469190263,-3.570136502215555,-5.651627503451842,-6.184927180608262,-4.998173141517412,2.14548825967382,-5.156312624172693,-2.4866591188678737,-4.935333330782711,-4.393425433559613,-4.9710814086401225,-4.44366518723842,-4.906333260100452,-5.271380492597581,-5.22765461144426,-5.876897911622385,-6.4249558040634325,-4.240081109114125,-2.521772967634751,0.7427762869293428,-11.271246370455486
8,-9.405583734013405,-1.7627605490408376,1.638385665796438,-1.6714855081203241,-2.989284559811441,-4.737354874850843,-5.540531035708021,-4.662454160333278,-2.6895855529759314,-0.7778311440321192,-6.896342792082905,1.3520587735930767,3.5743498482994625,6.080773271177084,2.559591986923196,-3.778341963777492,-13.368826030455544,-6.712148185144354,-0.7224273315841804,-10.027387971205444,-6.852321901386942,-6.037152103678055,-7.528835182618501,-8.66962286854461,-6.419469708080065,-5.262939365722095,-5.2761921870271955,-5.228004082740924,-5.646632942811262,-6.630518505322113,-11.794985564625767,-5.796065983151094,-5.372846037969827,-5.208740273079821,-5.454826680521148,-6.4928805864406804,-6.088763235645061,-6.103170802167478,-7.520472664537239,-10.906486306780701,-4.427956443484684,-4.0463762926386995,-4.105914317798221,-4.351816745718263,-4.838960838439389,-5.437139050178598,-5.088676687227866,-5.551337175466098,-5.514593335126421,-7.418049128217699,-13.325246607263848,-8.066246117260468,-11.434713836493069,-6.21316118829949,-5.365569764835196,-5.011276683202094,-4.056773992035708,-3.5207767725457995,-3.6713627188354616,-3.1830962082905936,-1.7095561132746437,-3.373592878173146,-9.26419619392092,-9.549192734386033,-5.028486753563299,-1.522041337916932,-4.038539154911286,-0.18511532345066462,-2.659094655733211,-5.687776984238422,-5.114280739228913,0.5581896228369208,-5.381223379206493,-8.385316490847195,-6.607752929092502,-5.566799922099916,-4.143404117589336,-2.0141803732437285,-5.786730065154557,-0.979988235068642,-3.570136502215555,-4.731119289053351,-6.184927180608262,-4.5505518372722,2.0933342134376636,-4.0488045046827885,-2.4866591188678737,-3.557570716485116,-4.393425433559613,-4.9710814086401225,-5.216727789681984,-4.906333260100452,-5.271380492597581,-5.505913876604437,-5.876897911622385,-5.997628258414641,-4.240081109114125,-2.521772967634751,-0.30399004914208416,-9.405583734013405
9,-8.932312208749822,-4.091125052594434,0.2009432591240219,-1.6714855081203241,-4.544428492672206,-4.509910926113506,-5.540531035708021,-3.997863682530611,-3.293840159916515,-0.7778311440321192,-5.699076906165632,0.09130947240407106,4.600194184098162,6.080773271177084,2.559591986923196,-3.8658753610919567,-13.368826030455544,-6.018653317911451,-0.7224273315841804,-9.731551557076434,-6.852321901386942,-6.037152103678055,-7.528835182618501,-6.95608547270873,-6.419469708080065,-5.262939365722095,-4.617658516901632,-5.612148332546129,-5.346976396342958,-6.630518505322113,-10.985255573277334,-5.796065983151094,-5.372846037969827,-5.208740273079821,-5.454826680521148,-6.4935902686072975,-5.20033406508415,-6.103170802167478,-7.3276849438465455,-10.906486306780701,-5.157643267640724,-4.098956521326535,-5.062751325534186,-4.351816745718263,-4.838960838439389,-5.437139050178598,-5.088676687227866,-5.572393223762366,-5.422715262572228,-7.689648729737974,-13.325246607263848,-8.066246117260468,-11.434713836493069,-6.21316118829949,-5.365569764835196,-5.011276683202094,-4.3753894581844825,-3.5207767725457995,-3.491187914937186,-4.062200482319132,-2.209300591492486,-3.3755544585576716,-8.707926291703902,-9.470259227090562,-5.592090713606929,-1.522041337916932,-4.038539154911286,-0.8977106302081265,-4.248116907265048,-5.52343180910487,-5.114280739228913,-0.4756674024892764,-5.2057409378795585,-8.385316490847195,-6.607752929092502,-5.566799922099916,-4.143404117589336,-3.2328001743797596,-3.6073070963607217,-0.979988235068642,-3.6335772343541453,-4.952730305458785,-5.944840641159252,-3.3315489581380042,2.074260630106393,-3.9238546300079515,-2.5320167943299206,-4.606147441099946,-4.393425433559613,-4.9710814086401225,-5.216727789681984,-5.0147560012730255,-5.271380492597581,-5.505913876604437,-5.876897911622385,-5.991482892593338,-4.6514971412749455,-2.521772967634751,-0.7480693732102235,-8.932312208749822
