hbar,energy,denergy
0.05,254.82909134899415,7.39686492533246
0.1,517.6109628474336,15.221514525587368
0.15000000000000002,781.234851353258,21.841756627009165
0.2,1059.030754443456,39.271405221283594
0.25,1310.2070555259309,36.21684731124491
0.3,1597.77140386189,54.90379492636656
0.35000000000000003,1844.7269539299577,56.42371750811658
0.4,2123.045822688914,79.05044254188913
0.45,2409.572438190109,81.40785676320563
0.5,2656.357534094599,84.44826117364535
0.55,2938.117776395777,103.06220417565335
0.6000000000000001,3221.0180968882705,100.40984542398826
0.6500000000000001,3482.0918507740153,112.0896706221478
0.7000000000000001,3743.2188744152304,126.61681570126812
0.7500000000000001,4001.357243344449,130.425735316504
0.8,4245.581495333266,141.17763825113164
0.8500000000000001,4547.143015673476,140.47487364789234
0.9000000000000001,4849.8456538958235,138.72313264691968
0.9500000000000001,5081.246631855018,151.50995267137313
1.0,5340.629251221042,156.76025147230405
1.05,5592.45976045024,171.59185491375666
1.1,5876.887235179413,187.62752286838244
1.1500000000000001,6116.029312277098,166.42396563320622
1.2000000000000002,6426.919815130352,215.16803719763385
1.2500000000000002,6628.040325905782,173.0972010519727
1.3,6888.886221012895,205.96326561845743
1.35,7174.631681810377,203.44310796075834
1.4000000000000001,7464.8036572292385,196.4070099435766
1.4500000000000002,7724.726172568562,250.6733109718781
1.5000000000000002,8022.050950244851,228.24790115287797
1.55,8245.246241039773,292.2608564494426
1.6,8483.954008153141,262.9964905016079
1.6500000000000001,8728.166841244241,214.66321932341805
1.7000000000000002,8995.390922798639,263.78871329030267
1.7500000000000002,9142.451004182953,253.44333359941925
1.8,9458.477068533675,311.75180086394306
1.85,9723.644677687327,289.29856391030046
1.9000000000000001,9978.807126520813,310.24166762006325
1.9500000000000002,10254.35352542051,290.33249634776166
2.0,10560.362301214634,321.49023940525063
